epoch,acc,loss,lr,val_acc,val_loss
0,0.04241071428571429,4.830392519632976,0.0125,0.042385057471264365,3.803993373081602
1,0.07242063492063493,3.5708206683870345,0.012070068,0.06824712643678162,3.5725010701979714
2,0.11532738095238096,3.365956703821818,0.011654923,0.08530890804597702,3.503903416381485
3,0.1307043650793651,3.260851954656934,0.011254056,0.08854166666666667,3.467909843072124
4,0.15178571428571427,3.16843685271248,0.010866978,0.08890086206896551,3.4630341228397414
5,0.16691468253968253,3.1011959976620145,0.010493212,0.10704022988505747,3.3921340416217673
6,0.17733134920634921,3.0692033162192693,0.010132303,0.12086925287356322,3.3633241489015777
7,0.19692460317460317,2.9915041772146074,0.009783806,0.12805316091954022,3.344858306577836
8,0.20734126984126985,2.965508952973381,0.009447297,0.11871408045977011,3.373580466741803
9,0.21354166666666666,2.9173123420230924,0.0091223605,0.12086925287356322,3.366076077537975
10,0.23139880952380953,2.865943439423092,0.008808601,0.12410201149425287,3.360007760168492
11,0.2442956349206349,2.8035308179401217,0.008505633,0.12607758620689655,3.3347678157104843
12,0.2542162698412698,2.753434892684694,0.008213085,0.13182471264367815,3.324076605939317
13,0.26165674603174605,2.6877738823966375,0.007930599,0.13757183908045978,3.310041027507563
14,0.2757936507936508,2.670470635096232,0.00765783,0.12392241379310345,3.378414458241956
15,0.2849702380952381,2.6206767483363076,0.007394442,0.14331896551724138,3.280814411996425
16,0.2904265873015873,2.5769169709039113,0.0071401135,0.11548132183908046,3.397390908208387
17,0.30431547619047616,2.5335846552773127,0.006894532,0.13757183908045978,3.2922361006681946
18,0.31200396825396826,2.476093371709188,0.0066573974,0.14385775862068967,3.2822245852700593
19,0.32837301587301587,2.443887233734131,0.006428419,0.1312859195402299,3.343383180684057
20,0.33978174603174605,2.410679105728392,0.006207316,0.1384698275862069,3.315073847770691
21,0.35193452380952384,2.3432860601515997,0.0059938184,0.14673132183908047,3.2851960193151717
22,0.341765873015873,2.370744031573099,0.005787663,0.14583333333333334,3.2907638220951476
23,0.3784722222222222,2.2291083260188027,0.005588599,0.13254310344827586,3.3932335513761673
24,0.3645833333333333,2.2756648328569202,0.0053963815,0.14744971264367815,3.3118217608024336
25,0.392609126984127,2.213281849073985,0.0052107754,0.1384698275862069,3.370632749864425
26,0.3864087301587302,2.198059608065893,0.0050315526,0.14547413793103448,3.3019731401026933
27,0.38839285714285715,2.173200671634977,0.0048584947,0.14098419540229884,3.3524509175070403
28,0.40649801587301587,2.123363873315236,0.004691389,0.12805316091954022,3.475890181530481
29,0.4000496031746032,2.1328546111545865,0.0045300303,0.140625,3.3717575621330873
30,0.41393849206349204,2.117149031351483,0.004374222,0.1470905172413793,3.3412779322985946
31,0.4228670634920635,2.0419194830788507,0.0042237723,0.14888649425287356,3.3391100373761406
32,0.4246031746031746,2.017313550389002,0.0040784976,0.13541666666666666,3.4224238930077386
33,0.4347718253968254,2.001514820825486,0.003938219,0.1434985632183908,3.382420217853853
34,0.4290674603174603,2.0081130644631764,0.0038027659,0.14870689655172414,3.3547594848720506
35,0.4670138888888889,1.9207208156585693,0.0036719711,0.14888649425287356,3.3632762678738297
36,0.43005952380952384,1.9926810794406467,0.0035456754,0.1476293103448276,3.3698459740342765
37,0.4541170634920635,1.9212674110654802,0.0034237234,0.14870689655172414,3.3652430663163635
38,0.4486607142857143,1.906726846619258,0.0033059658,0.14744971264367815,3.376624766437487
39,0.45907738095238093,1.8816630178027682,0.0031922585,0.14080459770114942,3.444382503114898
40,0.4600694444444444,1.8672011617630246,0.0030824621,0.1567887931034483,3.374626611841136
41,0.4593253968253968,1.8605467005381509,0.002976442,0.15193965517241378,3.375661205971378
42,0.4742063492063492,1.8260536364146642,0.0028740685,0.14942528735632185,3.3931333141765374
43,0.48288690476190477,1.811285240309579,0.0027752162,0.15193965517241378,3.4158513463776687
44,0.48561507936507936,1.8070375635510398,0.0026797638,0.15032327586206898,3.405015839927498
45,0.4836309523809524,1.8048540013177055,0.0025875943,0.15355603448275862,3.408705004330339
46,0.4895833333333333,1.7967201092886547,0.0024985953,0.1411637931034483,3.4269462645738975
47,0.48759920634920634,1.772511090551104,0.002412657,0.15427442528735633,3.423090326374975
48,0.4972718253968254,1.7688460936622015,0.0023296748,0.14673132183908047,3.4873270303353494
49,0.5096726190476191,1.7173239825263855,0.0022495466,0.15642959770114942,3.4182310501734414
