Number of layers,Size of dense layer 1,Size of dense layer 2,Learning rate,Regularization value,Validation accuracy
0,512,256,0.02,0.0175,0.08010057471264367
0,512,256,0.02,0.0175,0.11925287356321838
0,512,256,0.02,0.0175,0.14852729885057472
0,512,256,0.02,0.0175,0.16810344827586207
0,512,256,0.02,0.0175,0.17923850574712644
0,512,256,0.02,0.0175,0.17564655172413793
0,512,256,0.02,0.0175,0.17852011494252873
0,512,256,0.02,0.0175,0.18031609195402298
0,512,256,0.02,0.0175,0.18444683908045978
0,512,256,0.02,0.0175,0.18480603448275862
0,512,256,0.02,0.0175,0.19522270114942528
0,512,256,0.02,0.0175,0.18839798850574713
0,512,256,0.02,0.0175,0.20276580459770116
0,512,256,0.02,0.0175,0.1995330459770115
0,512,256,0.02,0.0175,0.20438218390804597
0,512,256,0.02,0.0175,0.20456178160919541
0,512,256,0.02,0.0175,0.19647988505747127
0,512,256,0.02,0.0175,0.203125
0,512,256,0.02,0.0175,0.21354166666666666
0,512,256,0.02,0.0175,0.20779454022988506
0,512,256,0.02,0.0175,0.2151580459770115
0,512,256,0.02,0.0175,0.20797413793103448
0,512,256,0.02,0.0175,0.20635775862068967
0,512,256,0.02,0.015000000000000001,0.19001436781609196
0,512,256,0.02,0.015000000000000001,0.17313218390804597
0,512,256,0.02,0.015000000000000001,0.18570402298850575
0,512,256,0.02,0.015000000000000001,0.17007902298850575
0,512,256,0.02,0.0125,0.1824712643678161
0,512,256,0.02,0.0125,0.1724137931034483
0,512,256,0.02,0.0125,0.17385057471264367
0,512,256,0.02,0.0125,0.18301005747126436
0,512,256,0.02,0.0125,0.16415229885057472
0,512,256,0.0175,0.0175,0.1781609195402299
0,512,256,0.0175,0.0175,0.17331178160919541
0,512,256,0.0175,0.0175,0.1684626436781609
0,512,256,0.0175,0.015000000000000001,0.16505028735632185
0,512,256,0.0175,0.015000000000000001,0.1584051724137931
0,512,256,0.0175,0.015000000000000001,0.14798850574712644
0,512,256,0.0175,0.0125,0.16469109195402298
0,512,256,0.0175,0.0125,0.18444683908045978
0,512,256,0.0175,0.0125,0.15463362068965517
0,512,256,0.015,0.0175,0.16576867816091953
0,512,256,0.015,0.0175,0.15535201149425287
0,512,256,0.015,0.0175,0.1724137931034483
0,512,256,0.015,0.0175,0.16702586206896552
0,512,256,0.015,0.015000000000000001,0.1632543103448276
0,512,256,0.015,0.015000000000000001,0.14942528735632185
0,512,256,0.015,0.015000000000000001,0.1684626436781609
0,512,256,0.015,0.015000000000000001,0.16630747126436782
0,512,256,0.015,0.0125,0.16648706896551724
0,512,256,0.015,0.0125,0.17708333333333334
0,512,256,0.015,0.0125,0.1747485632183908
0,512,256,0.0125,0.0175,0.16522988505747127
0,512,256,0.0125,0.0175,0.17205459770114942
0,512,256,0.0125,0.0175,0.1661278735632184
0,512,256,0.0125,0.015000000000000001,0.15499281609195403
0,512,256,0.0125,0.015000000000000001,0.18318965517241378
0,512,256,0.0125,0.015000000000000001,0.17385057471264367
0,512,256,0.0125,0.0125,0.16989942528735633
0,512,256,0.0125,0.0125,0.17025862068965517
0,512,256,0.0125,0.0125,0.17061781609195403
0,512,256,0.0125,0.0125,0.17025862068965517
0,512,256,0.01,0.0175,0.1725933908045977
0,512,256,0.01,0.0175,0.18067528735632185
0,512,256,0.01,0.0175,0.17367097701149425
0,512,256,0.01,0.015000000000000001,0.19198994252873564
0,512,256,0.01,0.015000000000000001,0.17456896551724138
0,512,256,0.01,0.015000000000000001,0.1769037356321839
0,512,256,0.01,0.015000000000000001,0.1690014367816092
0,512,256,0.01,0.0125,0.17869971264367815
0,512,256,0.01,0.0125,0.1740301724137931
0,512,256,0.01,0.0125,0.17780172413793102
0,512,256,0.01,0.0125,0.17780172413793102
0,512,256,0.01,0.0125,0.17995689655172414
0,512,256,0.01,0.0125,0.17438936781609196
0,512,256,0.0075,0.0175,0.16774425287356323
0,512,256,0.0075,0.0175,0.17905890804597702
0,512,256,0.0075,0.0175,0.17708333333333334
0,512,256,0.0075,0.015000000000000001,0.1810344827586207
0,512,256,0.0075,0.015000000000000001,0.16343390804597702
0,512,256,0.0075,0.015000000000000001,0.18301005747126436
0,512,256,0.0075,0.015000000000000001,0.18067528735632185
0,512,256,0.0075,0.0125,0.17905890804597702
0,512,256,0.0075,0.0125,0.18624281609195403
0,512,256,0.0075,0.0125,0.18983477011494254
0,512,256,0.0075,0.0125,0.17618534482758622
0,512,256,0.005000000000000001,0.0175,0.18606321839080459
0,512,256,0.005000000000000001,0.0175,0.18157327586206898
0,512,256,0.005000000000000001,0.0175,0.18911637931034483
0,512,256,0.005000000000000001,0.0175,0.18157327586206898
0,512,256,0.005000000000000001,0.015000000000000001,0.17798132183908047
0,512,256,0.005000000000000001,0.015000000000000001,0.18785919540229884
0,512,256,0.005000000000000001,0.015000000000000001,0.19270833333333334
0,512,256,0.005000000000000001,0.015000000000000001,0.1776221264367816
0,512,256,0.005000000000000001,0.0125,0.1783405172413793
0,512,256,0.005000000000000001,0.0125,0.18318965517241378
0,512,256,0.005000000000000001,0.0125,0.18067528735632185
1,512,256,0.02,0.0175,0.11709770114942529
1,512,256,0.02,0.0175,0.1470905172413793
1,512,256,0.02,0.0175,0.15768678160919541
1,512,256,0.02,0.0175,0.16379310344827586
1,512,256,0.02,0.0175,0.17726293103448276
1,512,256,0.02,0.0175,0.16451149425287356
1,512,256,0.02,0.0175,0.17636494252873564
1,512,256,0.02,0.0175,0.17205459770114942
1,512,256,0.02,0.015000000000000001,0.18336925287356323
1,512,256,0.02,0.015000000000000001,0.18588362068965517
1,512,256,0.02,0.015000000000000001,0.1846264367816092
1,512,256,0.02,0.0125,0.19719827586206898
1,512,256,0.02,0.0125,0.2038433908045977
1,512,256,0.02,0.0125,0.18229166666666666
1,512,256,0.0175,0.0175,0.1997126436781609
1,512,256,0.0175,0.0175,0.20869252873563218
1,512,256,0.0175,0.0175,0.18660201149425287
1,512,256,0.0175,0.015000000000000001,0.1973778735632184
1,512,256,0.0175,0.015000000000000001,0.2065373563218391
1,512,256,0.0175,0.015000000000000001,0.21641522988505746
1,512,256,0.0175,0.015000000000000001,0.20492097701149425
1,512,256,0.0175,0.015000000000000001,0.20456178160919541
1,512,256,0.0175,0.0125,0.20977011494252873
1,512,256,0.0175,0.0125,0.20563936781609196
1,512,256,0.0175,0.0125,0.20977011494252873
1,512,256,0.0175,0.0125,0.21282327586206898
1,512,256,0.0175,0.0125,0.2067169540229885
1,512,256,0.0175,0.010000000000000002,0.20743534482758622
1,512,256,0.0175,0.010000000000000002,0.2192887931034483
1,512,256,0.0175,0.010000000000000002,0.2122844827586207
1,512,256,0.0175,0.010000000000000002,0.21875
1,512,256,0.0175,0.010000000000000002,0.21497844827586207
1,512,256,0.0175,0.0075000000000000015,0.2237787356321839
1,512,256,0.0175,0.0075000000000000015,0.21030890804597702
1,512,256,0.0175,0.0075000000000000015,0.22306034482758622
1,512,256,0.0175,0.0075000000000000015,0.20833333333333334
1,512,256,0.0175,0.005000000000000001,0.22306034482758622
1,512,256,0.0175,0.005000000000000001,0.2151580459770115
1,512,256,0.0175,0.005000000000000001,0.2151580459770115
1,512,256,0.0175,0.005000000000000001,0.23275862068965517
1,512,256,0.0175,0.005000000000000001,0.22000718390804597
1,512,256,0.0175,0.005000000000000001,0.22629310344827586
1,512,256,0.0175,0.005000000000000001,0.22341954022988506
1,512,256,0.0175,0.0025000000000000022,0.22772988505747127
1,512,256,0.0175,0.0025000000000000022,0.2151580459770115
1,512,256,0.0175,0.0025000000000000022,0.22000718390804597
1,512,256,0.0175,0.0025000000000000022,0.22485632183908047
1,512,256,0.0175,0.0025000000000000022,0.22485632183908047
1,512,256,0.0175,0.0025000000000000022,0.2101293103448276
1,512,256,0.015,0.0175,0.21443965517241378
1,512,256,0.015,0.0175,0.2209051724137931
1,512,256,0.015,0.0175,0.22341954022988506
1,512,256,0.015,0.0175,0.21138649425287356
1,512,256,0.0125,0.0175,0.21964798850574713
1,512,256,0.0125,0.0175,0.22144396551724138
1,512,256,0.0125,0.0175,0.22036637931034483
1,512,256,0.0125,0.015000000000000001,0.21623563218390804
1,512,256,0.0125,0.015000000000000001,0.22180316091954022
1,512,256,0.0125,0.015000000000000001,0.21677442528735633
1,512,256,0.0125,0.0125,0.22252155172413793
1,512,256,0.0125,0.0125,0.21892959770114942
1,512,256,0.0125,0.0125,0.22108477011494254
1,512,256,0.0125,0.0125,0.21892959770114942
1,512,256,0.01,0.0175,0.21713362068965517
1,512,256,0.01,0.0175,0.22413793103448276
1,512,256,0.01,0.0175,0.22000718390804597
1,512,256,0.01,0.015000000000000001,0.21713362068965517
1,512,256,0.01,0.015000000000000001,0.21875
1,512,256,0.01,0.015000000000000001,0.2257543103448276
1,512,256,0.01,0.015000000000000001,0.22126436781609196
1,512,256,0.01,0.0125,0.21910919540229884
1,512,256,0.01,0.0125,0.22611350574712644
1,512,256,0.01,0.0125,0.2307830459770115
1,512,256,0.01,0.0125,0.22054597701149425
1,512,256,0.0075,0.0175,0.21731321839080459
1,512,256,0.0075,0.0175,0.22593390804597702
1,512,256,0.0075,0.0175,0.21749281609195403
1,512,256,0.0075,0.015000000000000001,0.22611350574712644
1,512,256,0.0075,0.015000000000000001,0.2307830459770115
1,512,256,0.0075,0.015000000000000001,0.22395833333333334
1,512,256,0.0075,0.0125,0.2250359195402299
1,512,256,0.0075,0.0125,0.2192887931034483
1,512,256,0.0075,0.0125,0.21964798850574713
1,512,256,0.0075,0.0125,0.22898706896551724
1,512,256,0.0075,0.0125,0.2237787356321839
1,512,256,0.005000000000000001,0.0175,0.22306034482758622
1,512,256,0.005000000000000001,0.0175,0.22683189655172414
1,512,256,0.005000000000000001,0.0175,0.22593390804597702
1,512,256,0.005000000000000001,0.015000000000000001,0.21857040229885058
1,512,256,0.005000000000000001,0.015000000000000001,0.22072557471264367
1,512,256,0.005000000000000001,0.015000000000000001,0.22844827586206898
1,512,256,0.005000000000000001,0.015000000000000001,0.2244971264367816
1,512,256,0.005000000000000001,0.0125,0.22683189655172414
1,512,256,0.005000000000000001,0.0125,0.23257902298850575
