Number of layers,Size of dense layer 1,Size of dense layer 2,Learning rate,Regularization value,Validation accuracy
0,128,64,0.0025,0.0,0.09482758620689655
0,128,64,0.0025,0.0,0.13236350574712644
0,128,64,0.0025,0.0,0.13380028735632185
0,128,64,0.0025,0.0,0.15301724137931033
0,128,64,0.0025,0.0,0.1567887931034483
0,128,64,0.0025,0.0,0.17600574712643677
0,128,64,0.0025,0.0,0.17941810344827586
0,128,64,0.0025,0.0,0.1788793103448276
0,128,64,0.0025,0.0,0.18839798850574713
0,128,64,0.0025,0.0,0.18839798850574713
0,128,64,0.0025,0.0,0.18336925287356323
0,128,64,0.0025,0.0025,0.19917385057471265
0,128,64,0.0025,0.0025,0.20545977011494254
0,128,64,0.0025,0.0025,0.20563936781609196
0,128,64,0.0025,0.0025,0.19881465517241378
0,128,64,0.0025,0.0025,0.19755747126436782
0,128,64,0.0025,0.005,0.20150862068965517
0,128,64,0.0025,0.005,0.20168821839080459
0,128,64,0.0025,0.005,0.20043103448275862
0,128,64,0.005,0.0,0.1997126436781609
0,128,64,0.005,0.0,0.19594109195402298
0,128,64,0.005,0.0,0.20079022988505746
0,128,64,0.005,0.0,0.20779454022988506
0,128,64,0.005,0.0,0.2038433908045977
0,128,64,0.005,0.0,0.2101293103448276
0,128,64,0.005,0.0,0.20689655172413793
0,128,64,0.005,0.0,0.20994971264367815
0,128,64,0.005,0.0,0.20617816091954022
0,128,64,0.005,0.0025,0.20869252873563218
0,128,64,0.005,0.0025,0.20689655172413793
0,128,64,0.005,0.0025,0.20456178160919541
0,128,64,0.005,0.005,0.20994971264367815
0,128,64,0.005,0.005,0.20617816091954022
0,128,64,0.005,0.005,0.21138649425287356
0,128,64,0.005,0.005,0.21731321839080459
0,128,64,0.005,0.005,0.20725574712643677
0,128,64,0.005,0.005,0.20132902298850575
0,128,64,0.0075,0.0,0.2088721264367816
0,128,64,0.0075,0.0,0.2081537356321839
0,128,64,0.0075,0.0,0.203125
0,128,64,0.0075,0.0025,0.20851293103448276
0,128,64,0.0075,0.0025,0.20797413793103448
0,128,64,0.0075,0.0025,0.2130028735632184
0,128,64,0.0075,0.0025,0.2081537356321839
1,128,64,0.0025,0.0,0.05190373563218391
1,128,64,0.0025,0.0,0.06932471264367816
1,128,64,0.0025,0.0,0.09608477011494253
1,128,64,0.0025,0.0,0.10093390804597702
1,128,64,0.0025,0.0,0.11619971264367816
1,128,64,0.0025,0.0,0.12410201149425287
1,128,64,0.0025,0.0,0.12877155172413793
1,128,64,0.0025,0.0,0.14098419540229884
1,128,64,0.0025,0.0,0.1400862068965517
1,128,64,0.0025,0.0025,0.1336206896551724
1,128,64,0.0025,0.0025,0.1492456896551724
1,128,64,0.0025,0.0025,0.15229885057471265
1,128,64,0.0025,0.0025,0.16415229885057472
1,128,64,0.0025,0.0025,0.1648706896551724
1,128,64,0.0025,0.0025,0.16702586206896552
1,128,64,0.0025,0.0025,0.1661278735632184
1,128,64,0.0025,0.005,0.17205459770114942
1,128,64,0.0025,0.005,0.1724137931034483
1,128,64,0.0025,0.005,0.17492816091954022
1,128,64,0.0025,0.005,0.17654454022988506
1,128,64,0.0025,0.005,0.1776221264367816
1,128,64,0.0025,0.005,0.1810344827586207
1,128,64,0.0025,0.005,0.1909123563218391
1,128,64,0.0025,0.005,0.18857758620689655
1,128,64,0.005,0.0,0.18983477011494254
1,128,64,0.005,0.0,0.1812140804597701
1,128,64,0.005,0.0,0.19863505747126436
1,128,64,0.005,0.0,0.19630028735632185
1,128,64,0.005,0.0025,0.19630028735632185
1,128,64,0.005,0.0025,0.20851293103448276
1,128,64,0.005,0.0025,0.20689655172413793
1,128,64,0.005,0.005,0.1961206896551724
1,128,64,0.005,0.005,0.20150862068965517
1,128,64,0.005,0.005,0.20492097701149425
1,128,64,0.005,0.005,0.20725574712643677
1,128,64,0.005,0.005,0.2101293103448276
1,128,64,0.005,0.005,0.20797413793103448
1,128,64,0.0075,0.0,0.21030890804597702
1,128,64,0.0075,0.0,0.20348419540229884
1,128,64,0.0075,0.0,0.2081537356321839
1,128,64,0.0075,0.0,0.2036637931034483
1,128,64,0.0075,0.0025,0.20869252873563218
1,128,64,0.0075,0.0025,0.21156609195402298
1,128,64,0.0075,0.0025,0.2101293103448276
1,128,64,0.0075,0.005,0.2081537356321839
1,128,64,0.0075,0.005,0.21264367816091953
1,128,64,0.0075,0.005,0.22126436781609196
1,128,64,0.0075,0.005,0.21677442528735633
1,128,64,0.0075,0.005,0.21282327586206898
1,128,128,0.0025,0.0,0.22306034482758622
1,128,128,0.0025,0.0,0.2209051724137931
1,128,128,0.0025,0.0,0.21982758620689655
1,128,128,0.0025,0.0025,0.22413793103448276
1,128,128,0.0025,0.0025,0.22036637931034483
1,128,128,0.0025,0.0025,0.22270114942528735
1,128,128,0.0025,0.0025,0.22288074712643677
1,128,128,0.0025,0.0025,0.21623563218390804
1,128,128,0.0025,0.005,0.21875
1,128,128,0.0025,0.005,0.21713362068965517
1,128,128,0.0025,0.005,0.22252155172413793
1,128,128,0.0025,0.005,0.22108477011494254
1,128,128,0.005,0.0,0.21910919540229884
1,128,128,0.005,0.0,0.2221623563218391
1,128,128,0.005,0.0,0.22036637931034483
1,128,128,0.0075,0.0,0.2192887931034483
1,128,128,0.0075,0.0,0.21443965517241378
1,128,128,0.0075,0.0,0.21910919540229884
1,128,128,0.0075,0.0,0.21210488505747127
1,128,128,0.0075,0.0025,0.21641522988505746
1,128,128,0.0075,0.0025,0.21695402298850575
1,128,128,0.0075,0.0025,0.21767241379310345
1,128,128,0.0075,0.0025,0.21731321839080459
1,128,128,0.0075,0.005,0.2117456896551724
1,128,128,0.0075,0.005,0.21336206896551724
1,128,128,0.0075,0.005,0.2122844827586207
1,128,192,0.0025,0.0,0.22611350574712644
1,128,192,0.0025,0.0,0.22557471264367815
1,128,192,0.0025,0.0,0.22054597701149425
1,128,192,0.0025,0.0025,0.22108477011494254
1,128,192,0.0025,0.0025,0.22593390804597702
1,128,192,0.0025,0.0025,0.22431752873563218
1,128,192,0.0025,0.005,0.23042385057471265
1,128,192,0.0025,0.005,0.22647270114942528
1,128,192,0.0025,0.005,0.22467672413793102
1,128,192,0.005,0.0,0.2209051724137931
1,128,192,0.005,0.0,0.22431752873563218
1,128,192,0.005,0.0,0.22000718390804597
1,128,192,0.005,0.0025,0.2280890804597701
1,128,192,0.005,0.0025,0.2223419540229885
1,128,192,0.005,0.0025,0.21857040229885058
1,128,192,0.0075,0.0,0.21982758620689655
1,128,192,0.0075,0.0,0.21336206896551724
1,128,192,0.0075,0.0,0.22306034482758622
1,128,192,0.0075,0.0,0.21695402298850575
1,128,192,0.0075,0.0025,0.21785201149425287
1,128,192,0.0075,0.0025,0.21641522988505746
1,128,192,0.0075,0.0025,0.21461925287356323
1,128,192,0.0075,0.005,0.21749281609195403
1,128,192,0.0075,0.005,0.21551724137931033
1,128,192,0.0075,0.005,0.22323994252873564
1,128,192,0.0075,0.005,0.21641522988505746
1,128,256,0.0025,0.0,0.21982758620689655
1,128,256,0.0025,0.0,0.2158764367816092
1,128,256,0.0025,0.0,0.21677442528735633
1,128,256,0.0025,0.0,0.22593390804597702
1,128,256,0.0025,0.0,0.2237787356321839
1,128,256,0.0025,0.0,0.2237787356321839
1,128,256,0.0025,0.0,0.22180316091954022
1,128,256,0.0025,0.0,0.21839080459770116
1,128,256,0.0025,0.0025,0.2250359195402299
1,128,256,0.0025,0.0025,0.21857040229885058
1,128,256,0.0025,0.0025,0.22557471264367815
1,128,256,0.0025,0.0025,0.22144396551724138
1,128,256,0.0025,0.005,0.22126436781609196
1,128,256,0.0025,0.005,0.22054597701149425
1,128,256,0.0025,0.005,0.21605603448275862
1,128,256,0.005,0.0,0.21641522988505746
1,128,256,0.005,0.0,0.21192528735632185
1,128,256,0.005,0.0,0.22018678160919541
1,128,256,0.005,0.0,0.2194683908045977
1,128,256,0.005,0.0025,0.22108477011494254
1,128,256,0.005,0.0025,0.21785201149425287
1,128,256,0.005,0.0025,0.21641522988505746
1,128,256,0.005,0.005,0.22683189655172414
1,128,256,0.005,0.005,0.21461925287356323
1,128,256,0.005,0.005,0.21623563218390804
1,128,256,0.005,0.005,0.2221623563218391
1,128,256,0.005,0.005,0.21910919540229884
1,128,256,0.0075,0.0,0.21569683908045978
1,128,256,0.0075,0.0,0.21084770114942528
1,128,256,0.0075,0.0,0.21857040229885058
1,128,256,0.0075,0.0,0.22018678160919541
1,128,256,0.0075,0.0,0.21318247126436782
1,128,256,0.0075,0.0025,0.20276580459770116
1,128,256,0.0075,0.0025,0.2130028735632184
1,128,256,0.0075,0.0025,0.21318247126436782
1,128,256,0.0075,0.0025,0.21551724137931033
1,128,256,0.0075,0.0025,0.20994971264367815
1,128,256,0.0075,0.005,0.21156609195402298
1,128,256,0.0075,0.005,0.21048850574712644
1,128,256,0.0075,0.005,0.21264367816091953
1,128,256,0.0075,0.005,0.21461925287356323
1,128,256,0.0075,0.005,0.21551724137931033
1,128,256,0.0075,0.005,0.20707614942528735
1,256,64,0.0025,0.0,0.05387931034482758
1,256,64,0.0025,0.0,0.08207614942528736
1,256,64,0.0025,0.0,0.11099137931034483
1,256,64,0.0025,0.0,0.12266522988505747
1,256,64,0.0025,0.0,0.13864942528735633
1,256,64,0.0025,0.0,0.14044540229885058
1,256,64,0.0025,0.0,0.1492456896551724
1,256,64,0.0025,0.0,0.15463362068965517
1,256,64,0.0025,0.0,0.1654094827586207
1,256,64,0.0025,0.0,0.15732758620689655
1,256,64,0.0025,0.0025,0.16469109195402298
1,256,64,0.0025,0.0025,0.16720545977011494
1,256,64,0.0025,0.0025,0.17726293103448276
