1,16,0,0,37,1,1,11,0,1,0,0,7,1,8,8,2,4,1,4,0,23,2,11,0,3,0,3,0,9,1,1,0,0,0,0,0,0,0,3
0,10,0,2,18,3,0,7,0,2,0,0,1,4,9,0,0,1,2,2,0,16,0,5,0,2,1,5,0,10,0,0,0,0,0,0,0,1,0,2
4,21,0,3,38,7,1,14,0,3,0,0,4,10,9,6,0,0,2,3,0,19,1,7,0,5,0,5,0,19,0,0,0,0,0,0,0,0,1,10
1,26,1,1,37,1,0,17,0,5,0,0,4,3,21,10,1,3,0,3,0,15,1,11,0,2,0,6,0,8,1,0,0,0,1,0,0,0,2,7
0,10,0,0,28,6,0,8,0,0,0,0,1,3,4,1,0,3,0,2,0,9,0,5,0,1,0,3,0,8,0,0,1,0,0,1,1,0,2,3
2,20,0,2,45,8,0,9,0,2,0,0,4,4,8,1,2,6,0,2,2,19,2,9,0,2,0,6,0,16,2,0,0,2,0,0,0,2,5,5
0,10,1,1,29,3,0,10,0,2,0,0,2,1,7,1,0,2,1,2,1,12,1,5,0,4,0,1,0,10,1,0,1,0,1,0,0,1,2,2
0,19,2,1,44,3,0,10,0,2,0,0,6,5,15,7,0,7,0,2,1,24,0,3,0,2,1,1,0,13,1,0,2,0,2,0,0,1,1,9
0,11,0,3,17,1,0,9,0,2,0,0,2,3,8,2,0,1,0,3,0,15,1,4,0,4,0,1,0,7,0,1,0,0,0,1,0,0,1,3
1,11,0,1,19,2,0,6,0,1,0,0,1,2,5,1,0,0,0,1,0,14,1,2,0,1,0,2,0,9,1,0,1,1,0,0,0,0,0,2
1,10,0,4,25,1,0,6,0,2,0,0,3,2,11,2,0,0,0,0,0,12,2,4,0,2,0,2,0,9,1,0,1,0,0,0,2,0,1,0
1,9,0,1,22,0,0,10,2,1,0,0,0,4,4,3,0,2,0,1,1,15,0,4,0,3,0,2,0,6,1,0,1,1,0,0,0,0,0,3
1,17,1,2,23,3,0,8,0,0,0,0,4,3,10,5,1,5,0,1,1,14,1,10,0,3,0,2,1,18,0,0,0,0,0,0,0,1,2,4
2,17,1,2,45,1,0,14,0,3,0,0,3,8,11,5,0,3,2,3,1,26,2,8,1,3,0,3,0,21,1,0,0,2,1,2,0,0,1,4
0,12,1,3,49,4,1,18,0,0,0,0,5,4,16,6,2,1,1,5,0,19,3,5,0,4,0,5,0,14,2,0,0,1,0,1,0,1,5,5
0,8,0,0,22,2,0,8,0,0,0,0,2,2,10,5,1,0,0,2,0,12,1,5,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,1
3,7,0,0,26,1,2,6,0,0,0,0,1,5,7,2,0,0,0,1,0,15,2,10,0,2,0,4,0,11,1,0,0,0,1,0,0,0,0,3
0,26,0,1,41,1,0,5,0,0,0,0,1,10,10,7,2,1,1,3,0,16,1,10,0,3,0,7,1,13,2,1,1,0,0,1,0,0,3,5
1,21,0,3,41,0,0,13,0,2,0,0,3,4,9,2,2,2,1,4,1,12,2,5,0,4,0,5,0,12,0,0,1,0,1,0,0,0,0,0
1,11,0,1,34,2,0,13,0,0,0,0,2,3,6,1,0,1,2,2,1,18,1,4,0,4,0,1,0,9,0,1,0,1,1,0,1,1,0,1
0,8,1,1,19,3,0,7,0,0,0,0,3,2,2,2,1,3,0,0,0,8,4,4,0,3,0,1,0,6,1,1,1,0,0,0,0,0,0,1
0,9,0,2,24,3,0,7,0,1,0,0,2,1,6,9,1,1,0,0,0,7,0,3,0,0,1,0,1,6,1,0,1,2,0,2,0,0,0,3
1,11,0,3,28,6,0,11,0,2,0,0,2,2,12,7,1,3,1,2,0,14,1,3,0,8,0,2,1,11,2,0,0,1,1,0,0,0,3,6
0,18,0,3,47,1,0,15,0,1,0,0,2,3,14,1,2,1,1,4,1,26,1,11,1,3,0,6,0,15,1,0,0,1,0,0,1,1,1,7
1,21,0,4,26,2,0,12,0,0,0,0,1,3,9,4,2,3,2,2,1,11,2,4,0,1,1,4,1,9,2,0,0,0,0,0,0,0,2,5
0,11,1,1,20,6,0,7,0,0,0,0,1,4,9,1,1,0,1,0,1,10,2,3,0,0,0,5,0,10,0,0,0,0,0,0,1,0,0,7
1,10,0,2,22,2,1,9,0,1,0,0,1,0,5,5,0,0,0,0,0,8,3,2,0,2,0,4,0,10,1,1,0,0,0,0,0,1,1,7
1,18,0,4,21,2,1,3,0,0,0,0,2,4,6,4,2,1,0,1,0,21,2,5,0,2,0,3,1,5,0,0,1,0,0,0,0,0,1,1
0,7,0,0,22,1,0,4,0,0,0,0,0,3,9,3,0,3,0,0,0,8,0,1,0,1,0,2,0,9,0,0,1,0,0,1,0,0,5,3
2,16,0,4,38,2,0,16,0,0,0,0,5,0,12,1,0,1,1,4,0,15,2,6,0,0,0,3,0,14,1,0,1,0,0,2,0,0,3,2
0,16,0,2,37,2,0,9,0,0,0,0,2,4,10,4,0,1,0,3,1,18,1,9,0,5,1,5,0,17,2,0,2,0,0,2,0,0,1,5
0,17,0,2,34,0,0,10,0,0,0,0,6,5,8,7,2,4,0,6,0,15,1,6,0,5,0,3,0,16,0,0,3,1,0,1,0,0,2,6
2,17,0,2,35,7,0,13,0,3,0,0,8,7,19,8,0,3,1,5,1,25,1,7,0,1,0,3,1,10,1,1,1,1,0,1,1,1,2,7
2,18,0,1,29,1,1,14,0,1,0,0,9,5,22,8,2,2,0,0,0,19,2,10,0,2,0,3,0,18,1,2,0,1,0,0,2,1,9,8
1,9,0,0,37,1,0,9,0,0,0,0,2,2,10,6,3,1,0,1,0,16,1,3,0,3,0,4,1,11,0,0,0,2,0,1,1,0,4,1
2,15,0,2,45,2,1,14,0,3,0,0,8,8,10,8,0,4,1,2,0,27,1,9,0,8,0,4,0,11,0,2,1,0,0,1,1,0,1,4
1,10,0,6,31,5,0,12,0,1,0,0,5,2,7,2,2,0,1,4,1,9,0,3,0,3,0,6,1,9,0,1,1,0,1,0,0,1,0,3
0,10,0,2,22,0,0,7,0,0,0,0,3,1,5,2,0,0,0,1,1,14,0,1,0,2,0,1,1,6,1,0,0,1,2,0,1,0,2,3
