epoch,acc,loss
0,0.020337301587301588,3.6915098788246277
0,0.024057539682539684,3.6922859502217125
1,0.036210317460317464,3.685001199207609
2,0.033234126984126984,3.675137285202269
3,0.048859126984126984,3.6444343801528687
4,0.06845238095238096,3.5852558612823486
5,0.08482142857142858,3.508055217682369
6,0.11061507936507936,3.4201612207624645
7,0.14211309523809523,3.3108712945665633
8,0.16418650793650794,3.176467986333938
9,0.1974206349206349,3.0220394172365705
10,0.23040674603174602,2.8871927488417852
11,0.2864583333333333,2.674081908331977
12,0.33630952380952384,2.482621917648921
13,0.38293650793650796,2.2527490892107527
14,0.44915674603174605,2.009109962554205
15,0.5091765873015873,1.7731919212946816
