CM,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,,,,,,,Class name,Label,Class precision,,
C28,1,0,2,3,1,2,0,0,6,2,4,2,2,0,3,7,2,5,0,0,3,3,2,1,1,8,1,7,19,1,3,1,3,2,2,4,3,3,1,4,,,,,,,shooting_an_arrow,C28,12.18%,,
C29,11,6,5,3,4,5,3,5,10,3,0,4,0,3,4,1,3,0,4,1,2,0,4,4,2,2,0,3,2,17,2,7,1,6,3,1,2,3,3,2,,,,,,,smoking,C29,9.66%,,
C30,8,3,3,2,3,3,0,2,2,2,1,3,3,1,6,4,2,2,7,4,1,0,4,1,4,0,0,4,3,2,3,1,0,3,4,0,3,2,1,0,,,,,,,taking_photos,C30,4.76%,,
C31,3,2,3,0,0,2,3,5,2,3,4,0,2,3,1,0,3,2,1,3,2,3,2,5,2,3,0,2,4,2,1,2,1,5,0,6,3,1,6,1,,,,,,,texting_message,C31,2.90%,,
C32,1,0,0,0,2,2,1,0,4,1,3,0,1,0,5,9,0,2,1,0,0,3,8,2,7,3,1,17,8,3,1,0,3,0,5,2,2,2,1,2,,,,,,,throwing_frisby,C32,6.12%,,
C33,1,1,3,2,0,12,2,7,5,4,7,2,3,3,5,1,5,2,2,6,2,3,3,2,0,3,1,5,2,3,0,1,0,7,2,4,3,1,3,12,,,,,,,using_a_computer,C33,5.98%,,
C34,4,3,3,6,5,7,3,3,4,4,9,6,2,3,6,12,0,2,3,1,4,1,13,0,2,10,3,19,7,9,1,7,3,0,19,2,2,1,1,3,,,,,,,walking_the_dog,C34,16.96%,,
C35,0,0,4,0,0,4,2,7,1,4,1,1,0,1,1,1,0,1,1,2,0,4,0,1,1,2,1,2,1,3,0,0,1,4,4,13,2,2,1,9,,,,,,,washing_dishes,C35,9.63%,,
C36,4,2,5,1,0,7,0,3,2,4,5,1,5,0,3,0,4,1,1,2,1,4,3,1,0,4,1,5,1,3,2,2,1,6,2,4,19,6,4,4,,,,,,,watching_TV,C36,13.01%,,
C37,7,3,6,5,1,5,0,0,10,5,5,3,2,1,4,1,1,2,2,0,0,2,2,1,1,2,2,3,0,10,1,2,0,2,2,1,6,3,2,5,,,,,,,waving_hands,C37,3.85%,,
C38,1,0,2,2,0,4,1,1,5,2,9,2,0,0,4,1,1,3,2,1,1,2,1,0,0,1,0,2,0,2,0,1,0,3,3,1,3,4,12,6,,,,,,,writing_on_a_board,C38,12.63%,,
C39,4,0,1,2,1,3,1,6,6,4,3,1,2,2,3,6,8,2,3,5,5,2,2,10,2,6,4,2,2,3,1,6,2,3,1,9,5,2,2,14,,,,,,,writing_on_a_book,C39,8.64%,,
